image_path,source,final_class,correct_fake,fake_confidence,layer1_manip_prob,layer2_fake_given_manip_prob,decisive_layer,decisive_class_idx,branch_contribution_status,full_prob_decisive_layer,spatial_only_prob_decisive_layer,freq_only_prob_decisive_layer,spatial_branch_contribution_proxy,fft_branch_contribution_proxy,l2_not_decisive_note
C:\My_Project\AIGC\AIGuard\unseen\fake_176.jpg,aiguard_unseen,fake,True,0.780653,0.836902,0.932789,l2,0,AVAILABLE (zero-branch ablation),0.932789,0.834907,0.502919,0.42987,0.097881,
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,fake,True,0.82397,0.886863,0.929084,l2,0,AVAILABLE (zero-branch ablation),0.929084,0.802631,0.489384,0.4397,0.126453,
C:\My_Project\AIGC\AIGuard\unseen\fake_179.jpg,aiguard_unseen,fake,True,0.810598,0.867905,0.933971,l2,0,AVAILABLE (zero-branch ablation),0.933971,0.825235,0.503497,0.430473,0.108736,
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,fake,True,0.804198,0.870656,0.923669,l2,0,AVAILABLE (zero-branch ablation),0.923669,0.807893,0.472069,0.4516,0.115776,
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,fake,True,0.804293,0.872904,0.921399,l2,0,AVAILABLE (zero-branch ablation),0.921399,0.810332,0.468025,0.453374,0.111067,
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,fake,True,0.831962,0.884845,0.940235,l2,0,AVAILABLE (zero-branch ablation),0.940235,0.838079,0.470648,0.469587,0.102157,
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,fake,True,0.81091,0.884738,0.916553,l2,0,AVAILABLE (zero-branch ablation),0.916553,0.815568,0.52626,0.390293,0.100985,
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,fake,True,0.831952,0.885646,0.939374,l2,0,AVAILABLE (zero-branch ablation),0.939374,0.844221,0.479173,0.4602,0.095153,
C:\My_Project\AIGC\AIGuard\unseen\fake_237.jpg,aiguard_unseen,fake,True,0.820132,0.881364,0.930525,l2,0,AVAILABLE (zero-branch ablation),0.930525,0.817179,0.496214,0.434312,0.113347,
C:\My_Project\AIGC\AIGuard\unseen\fake_242.jpg,aiguard_unseen,fake,True,0.812724,0.877945,0.925711,l2,0,AVAILABLE (zero-branch ablation),0.925711,0.82755,0.49001,0.435701,0.098161,
C:\My_Project\AIGC\AIGuard\unseen\fake_247.jpg,aiguard_unseen,fake,True,0.804328,0.863673,0.931287,l2,0,AVAILABLE (zero-branch ablation),0.931287,0.840489,0.506141,0.425146,0.090798,
C:\My_Project\AIGC\AIGuard\unseen\fake_260.jpg,aiguard_unseen,fake,True,0.834841,0.895139,0.932638,l2,0,AVAILABLE (zero-branch ablation),0.932638,0.821095,0.48678,0.445858,0.111543,
C:\My_Project\AIGC\AIGuard\unseen\fake_262.jpg,aiguard_unseen,fake,True,0.788006,0.855611,0.920987,l2,0,AVAILABLE (zero-branch ablation),0.920987,0.81731,0.485618,0.435369,0.103676,
C:\My_Project\AIGC\AIGuard\unseen\fake_266.jpg,aiguard_unseen,fake,True,0.793524,0.855708,0.927331,l2,0,AVAILABLE (zero-branch ablation),0.927331,0.82298,0.495776,0.431555,0.104351,
C:\My_Project\AIGC\AIGuard\unseen\fake_272.jpg,aiguard_unseen,fake,True,0.703298,0.77626,0.906008,l2,0,AVAILABLE (zero-branch ablation),0.906008,0.788493,0.484674,0.421334,0.117515,
C:\My_Project\AIGC\AIGuard\unseen\fake_274.jpg,aiguard_unseen,fake,True,0.826729,0.887047,0.932002,l2,0,AVAILABLE (zero-branch ablation),0.932002,0.823398,0.497133,0.434868,0.108603,
C:\My_Project\AIGC\AIGuard\unseen\fake_29.jpg,aiguard_unseen,fake,True,0.788329,0.853348,0.923807,l2,0,AVAILABLE (zero-branch ablation),0.923807,0.774598,0.584376,0.339431,0.149209,
C:\My_Project\AIGC\AIGuard\unseen\fake_298.jpg,aiguard_unseen,fake,True,0.805997,0.873319,0.922912,l2,0,AVAILABLE (zero-branch ablation),0.922912,0.809745,0.508632,0.41428,0.113166,
C:\My_Project\AIGC\AIGuard\unseen\fake_304.jpg,aiguard_unseen,fake,True,0.83786,0.899309,0.93167,l2,0,AVAILABLE (zero-branch ablation),0.93167,0.824309,0.478057,0.453613,0.107361,
C:\My_Project\AIGC\AIGuard\unseen\fake_305.jpg,aiguard_unseen,fake,True,0.806063,0.865044,0.931818,l2,0,AVAILABLE (zero-branch ablation),0.931818,0.843074,0.482442,0.449376,0.088743,
C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,aiguard_unseen,fake,True,0.824723,0.894086,0.92242,l2,0,AVAILABLE (zero-branch ablation),0.92242,0.821549,0.478557,0.443863,0.100871,
C:\My_Project\AIGC\AIGuard\unseen\fake_32.jpg,aiguard_unseen,fake,True,0.825412,0.87814,0.939954,l2,0,AVAILABLE (zero-branch ablation),0.939954,0.808419,0.583627,0.356327,0.131535,
C:\My_Project\AIGC\AIGuard\unseen\fake_424.jpg,aiguard_unseen,fake,True,0.79441,0.8689,0.914271,l2,0,AVAILABLE (zero-branch ablation),0.914271,0.818698,0.456448,0.457823,0.095573,
C:\My_Project\AIGC\AIGuard\unseen\fake_431.jpg,aiguard_unseen,fake,True,0.821722,0.882848,0.930762,l2,0,AVAILABLE (zero-branch ablation),0.930762,0.850283,0.440612,0.49015,0.08048,
C:\My_Project\AIGC\AIGuard\unseen\fake_434.jpg,aiguard_unseen,fake,True,0.825313,0.877591,0.94043,l2,0,AVAILABLE (zero-branch ablation),0.94043,0.833927,0.489083,0.451347,0.106504,
C:\My_Project\AIGC\AIGuard\unseen\fake_441.jpg,aiguard_unseen,fake,True,0.80142,0.868645,0.922608,l2,0,AVAILABLE (zero-branch ablation),0.922608,0.820606,0.480718,0.44189,0.102003,
C:\My_Project\AIGC\AIGuard\unseen\fake_442.jpg,aiguard_unseen,fake,True,0.782242,0.872195,0.896866,l2,0,AVAILABLE (zero-branch ablation),0.896866,0.781571,0.454483,0.442383,0.115295,
C:\My_Project\AIGC\AIGuard\unseen\fake_450.jpg,aiguard_unseen,fake,True,0.825352,0.87574,0.942462,l2,0,AVAILABLE (zero-branch ablation),0.942462,0.863681,0.45699,0.485472,0.078781,
C:\My_Project\AIGC\AIGuard\unseen\fake_451.jpg,aiguard_unseen,fake,True,0.778944,0.865038,0.900473,l2,0,AVAILABLE (zero-branch ablation),0.900473,0.815319,0.464139,0.436334,0.085154,
C:\My_Project\AIGC\AIGuard\unseen\fake_453.jpg,aiguard_unseen,fake,True,0.827766,0.892047,0.927939,l2,0,AVAILABLE (zero-branch ablation),0.927939,0.835754,0.461055,0.466885,0.092185,
C:\My_Project\AIGC\AIGuard\unseen\fake_458.jpg,aiguard_unseen,fake,True,0.845183,0.893111,0.946335,l2,0,AVAILABLE (zero-branch ablation),0.946335,0.865422,0.461224,0.485111,0.080914,
C:\My_Project\AIGC\AIGuard\unseen\fake_465.jpg,aiguard_unseen,fake,True,0.825941,0.888698,0.929384,l2,0,AVAILABLE (zero-branch ablation),0.929384,0.838825,0.452586,0.476798,0.090559,
C:\My_Project\AIGC\AIGuard\unseen\fake_472.jpg,aiguard_unseen,fake,True,0.832493,0.897572,0.927494,l2,0,AVAILABLE (zero-branch ablation),0.927494,0.814329,0.461088,0.466406,0.113165,
C:\My_Project\AIGC\AIGuard\unseen\fake_677.jpg,aiguard_unseen,fake,True,0.811198,0.876192,0.925822,l2,0,AVAILABLE (zero-branch ablation),0.925822,0.839226,0.464393,0.46143,0.086596,
C:\My_Project\AIGC\AIGuard\unseen\fake_679.jpg,aiguard_unseen,fake,True,0.830032,0.883409,0.939579,l2,0,AVAILABLE (zero-branch ablation),0.939579,0.845513,0.454002,0.485576,0.094066,
C:\My_Project\AIGC\AIGuard\unseen\fake_680.jpg,aiguard_unseen,fake,True,0.803289,0.872229,0.920962,l2,0,AVAILABLE (zero-branch ablation),0.920962,0.827723,0.447789,0.473173,0.093238,
C:\My_Project\AIGC\AIGuard\unseen\fake_687.jpg,aiguard_unseen,fake,True,0.817368,0.886522,0.921994,l2,0,AVAILABLE (zero-branch ablation),0.921994,0.835128,0.454053,0.467941,0.086866,
C:\My_Project\AIGC\stylegan2_test\fake\0YYEKMF3GY.jpg,stylegan2_ood,fake,True,0.817888,0.878364,0.931149,l2,0,AVAILABLE (zero-branch ablation),0.931149,0.831684,0.478841,0.452308,0.099465,
C:\My_Project\AIGC\stylegan2_test\fake\30PIZ1A6JA.jpg,stylegan2_ood,fake,True,0.794431,0.871975,0.911071,l2,0,AVAILABLE (zero-branch ablation),0.911071,0.814264,0.449195,0.461876,0.096807,
C:\My_Project\AIGC\stylegan2_test\fake\30YAI4JQ1J.jpg,stylegan2_ood,fake,True,0.829884,0.886035,0.936626,l2,0,AVAILABLE (zero-branch ablation),0.936626,0.84232,0.450465,0.486162,0.094306,
C:\My_Project\AIGC\stylegan2_test\fake\3OCXA03C1S.jpg,stylegan2_ood,fake,True,0.788931,0.871509,0.905247,l2,0,AVAILABLE (zero-branch ablation),0.905247,0.801013,0.443308,0.461939,0.104233,
C:\My_Project\AIGC\stylegan2_test\fake\3YWOYM1KIG.jpg,stylegan2_ood,fake,True,0.799289,0.874463,0.914035,l2,0,AVAILABLE (zero-branch ablation),0.914035,0.82331,0.430292,0.483743,0.090725,
C:\My_Project\AIGC\stylegan2_test\fake\5SI1CK8UC0.jpg,stylegan2_ood,fake,True,0.806411,0.871294,0.925532,l2,0,AVAILABLE (zero-branch ablation),0.925532,0.859635,0.462819,0.462714,0.065897,
C:\My_Project\AIGC\stylegan2_test\fake\5W7U58MW2L.jpg,stylegan2_ood,fake,True,0.787382,0.853125,0.922939,l2,0,AVAILABLE (zero-branch ablation),0.922939,0.835837,0.448103,0.474836,0.087101,
C:\My_Project\AIGC\stylegan2_test\fake\68ZWU9N0A4.jpg,stylegan2_ood,fake,True,0.815957,0.873571,0.934048,l2,0,AVAILABLE (zero-branch ablation),0.934048,0.848441,0.44428,0.489768,0.085607,
C:\My_Project\AIGC\stylegan2_test\fake\6LKRPM42GN.jpg,stylegan2_ood,fake,True,0.83574,0.891274,0.937691,l2,0,AVAILABLE (zero-branch ablation),0.937691,0.850444,0.457848,0.479843,0.087248,
C:\My_Project\AIGC\stylegan2_test\fake\6V7NTIPR9L.jpg,stylegan2_ood,fake,True,0.825671,0.882037,0.936096,l2,0,AVAILABLE (zero-branch ablation),0.936096,0.858729,0.449059,0.487037,0.077367,
C:\My_Project\AIGC\stylegan2_test\fake\74WMVN57OA.jpg,stylegan2_ood,fake,True,0.787803,0.863034,0.91283,l2,0,AVAILABLE (zero-branch ablation),0.91283,0.843356,0.457592,0.455239,0.069474,
C:\My_Project\AIGC\stylegan2_test\fake\78X3XXVFDY.jpg,stylegan2_ood,fake,True,0.816957,0.881404,0.926882,l2,0,AVAILABLE (zero-branch ablation),0.926882,0.837434,0.455241,0.471641,0.089448,
C:\My_Project\AIGC\stylegan2_test\fake\7BJI9BOS7B.jpg,stylegan2_ood,fake,True,0.814652,0.875166,0.930855,l2,0,AVAILABLE (zero-branch ablation),0.930855,0.830012,0.503927,0.426927,0.100842,
C:\My_Project\AIGC\stylegan2_test\fake\7DNN5FXAB5.jpg,stylegan2_ood,fake,True,0.78668,0.858162,0.916703,l2,0,AVAILABLE (zero-branch ablation),0.916703,0.832682,0.475118,0.441585,0.084021,
C:\My_Project\AIGC\stylegan2_test\fake\7XHLCD0DVI.jpg,stylegan2_ood,fake,True,0.80496,0.875088,0.919862,l2,0,AVAILABLE (zero-branch ablation),0.919862,0.839102,0.450016,0.469846,0.08076,
C:\My_Project\AIGC\stylegan2_test\fake\8K0CSLCSLO.jpg,stylegan2_ood,fake,True,0.813014,0.874687,0.929492,l2,0,AVAILABLE (zero-branch ablation),0.929492,0.84717,0.446821,0.48267,0.082322,
C:\My_Project\AIGC\stylegan2_test\fake\98O660FSWQ.jpg,stylegan2_ood,fake,True,0.8199,0.882745,0.928808,l2,0,AVAILABLE (zero-branch ablation),0.928808,0.840901,0.469232,0.459575,0.087907,
C:\My_Project\AIGC\stylegan2_test\fake\9CT9CLIOZH.jpg,stylegan2_ood,fake,True,0.827651,0.884822,0.935386,l2,0,AVAILABLE (zero-branch ablation),0.935386,0.844346,0.490476,0.44491,0.09104,
C:\My_Project\AIGC\stylegan2_test\fake\9YLX05B7V1.jpg,stylegan2_ood,fake,True,0.815088,0.877153,0.929243,l2,0,AVAILABLE (zero-branch ablation),0.929243,0.84807,0.444229,0.485014,0.081173,
C:\My_Project\AIGC\stylegan2_test\fake\9ZB4RQT9UA.jpg,stylegan2_ood,fake,True,0.808479,0.872963,0.926132,l2,0,AVAILABLE (zero-branch ablation),0.926132,0.836082,0.453178,0.472954,0.09005,
C:\My_Project\AIGC\stylegan2_test\fake\BXD2F7KMWA.jpg,stylegan2_ood,fake,True,0.831769,0.884193,0.94071,l2,0,AVAILABLE (zero-branch ablation),0.94071,0.855784,0.475582,0.465128,0.084926,
C:\My_Project\AIGC\stylegan2_test\fake\DEBW16E2CA.jpg,stylegan2_ood,fake,True,0.822184,0.887621,0.926279,l2,0,AVAILABLE (zero-branch ablation),0.926279,0.845415,0.469246,0.457033,0.080864,
C:\My_Project\AIGC\stylegan2_test\fake\DXY4M1MLQ7.jpg,stylegan2_ood,fake,True,0.801401,0.874191,0.916735,l2,0,AVAILABLE (zero-branch ablation),0.916735,0.817652,0.458528,0.458206,0.099083,
C:\My_Project\AIGC\stylegan2_test\fake\HF1JHOEIGR.jpg,stylegan2_ood,fake,True,0.823134,0.888811,0.926106,l2,0,AVAILABLE (zero-branch ablation),0.926106,0.8417,0.468704,0.457402,0.084406,
C:\My_Project\AIGC\stylegan2_test\fake\ID9OH4XXHX.jpg,stylegan2_ood,fake,True,0.826909,0.883276,0.936184,l2,0,AVAILABLE (zero-branch ablation),0.936184,0.835897,0.474999,0.461185,0.100287,
C:\My_Project\AIGC\stylegan2_test\fake\IL3PGDMOUE.jpg,stylegan2_ood,fake,True,0.787489,0.872402,0.902668,l2,0,AVAILABLE (zero-branch ablation),0.902668,0.810864,0.461611,0.441057,0.091804,
C:\My_Project\AIGC\stylegan2_test\fake\JU9X9WZ3B5.jpg,stylegan2_ood,fake,True,0.865586,0.907961,0.953329,l2,0,AVAILABLE (zero-branch ablation),0.953329,0.859671,0.481103,0.472225,0.093658,
C:\My_Project\AIGC\stylegan2_test\fake\KJKLRCWBQ6.jpg,stylegan2_ood,fake,True,0.7821,0.854334,0.915449,l2,0,AVAILABLE (zero-branch ablation),0.915449,0.836969,0.448506,0.466943,0.078481,
C:\My_Project\AIGC\stylegan2_test\fake\KVB0KGWXCI.jpg,stylegan2_ood,fake,True,0.825643,0.882826,0.935227,l2,0,AVAILABLE (zero-branch ablation),0.935227,0.855836,0.459315,0.475912,0.079391,
C:\My_Project\AIGC\stylegan2_test\fake\LW30200T8S.jpg,stylegan2_ood,fake,True,0.797981,0.867033,0.920359,l2,0,AVAILABLE (zero-branch ablation),0.920359,0.838078,0.494114,0.426245,0.082281,
C:\My_Project\AIGC\stylegan2_test\fake\MGPFLAVG6M.jpg,stylegan2_ood,fake,True,0.831105,0.889794,0.934042,l2,0,AVAILABLE (zero-branch ablation),0.934042,0.854186,0.440468,0.493574,0.079856,
C:\My_Project\AIGC\stylegan2_test\fake\MHDZUQWTKO.jpg,stylegan2_ood,fake,True,0.826148,0.890406,0.927833,l2,0,AVAILABLE (zero-branch ablation),0.927833,0.831162,0.465775,0.462058,0.096671,
C:\My_Project\AIGC\stylegan2_test\fake\MM2UZURM5P.jpg,stylegan2_ood,fake,True,0.793645,0.862974,0.919662,l2,0,AVAILABLE (zero-branch ablation),0.919662,0.835846,0.451731,0.467932,0.083816,
C:\My_Project\AIGC\stylegan2_test\fake\PILJGXKJXZ.jpg,stylegan2_ood,fake,True,0.811567,0.8741,0.92846,l2,0,AVAILABLE (zero-branch ablation),0.92846,0.827479,0.457305,0.471156,0.100982,
C:\My_Project\AIGC\stylegan2_test\fake\PWDTNKVF36.jpg,stylegan2_ood,fake,True,0.798141,0.861538,0.926415,l2,0,AVAILABLE (zero-branch ablation),0.926415,0.849915,0.440837,0.485578,0.0765,
C:\My_Project\AIGC\stylegan2_test\fake\RCETBMFUTR.jpg,stylegan2_ood,fake,True,0.814437,0.879272,0.926264,l2,0,AVAILABLE (zero-branch ablation),0.926264,0.856418,0.437912,0.488352,0.069846,
C:\My_Project\AIGC\stylegan2_test\fake\RE9I0JZ8XC.jpg,stylegan2_ood,fake,True,0.842645,0.90217,0.93402,l2,0,AVAILABLE (zero-branch ablation),0.93402,0.852499,0.460961,0.473059,0.081521,
C:\My_Project\AIGC\stylegan2_test\fake\RTBQTLYH9Z.jpg,stylegan2_ood,fake,True,0.834282,0.892161,0.935125,l2,0,AVAILABLE (zero-branch ablation),0.935125,0.843888,0.434339,0.500786,0.091237,
C:\My_Project\AIGC\stylegan2_test\fake\SALHBWCNVW.jpg,stylegan2_ood,fake,True,0.825664,0.885838,0.932071,l2,0,AVAILABLE (zero-branch ablation),0.932071,0.846419,0.455063,0.477009,0.085653,
C:\My_Project\AIGC\stylegan2_test\fake\SMLN7GPDBD.jpg,stylegan2_ood,fake,True,0.808956,0.873136,0.926495,l2,0,AVAILABLE (zero-branch ablation),0.926495,0.829531,0.450546,0.475949,0.096964,
C:\My_Project\AIGC\stylegan2_test\fake\T84A6WMUGJ.jpg,stylegan2_ood,fake,True,0.81775,0.873149,0.936553,l2,0,AVAILABLE (zero-branch ablation),0.936553,0.858414,0.466838,0.469715,0.078139,
C:\My_Project\AIGC\stylegan2_test\fake\TF2K5P709A.jpg,stylegan2_ood,fake,True,0.817047,0.878161,0.930407,l2,0,AVAILABLE (zero-branch ablation),0.930407,0.840683,0.453005,0.477401,0.089724,
C:\My_Project\AIGC\stylegan2_test\fake\TGE19X7IKG.jpg,stylegan2_ood,fake,True,0.820822,0.885472,0.926988,l2,0,AVAILABLE (zero-branch ablation),0.926988,0.841393,0.458184,0.468804,0.085594,
C:\My_Project\AIGC\stylegan2_test\fake\U7U3VI9OU9.jpg,stylegan2_ood,fake,True,0.818958,0.881302,0.929259,l2,0,AVAILABLE (zero-branch ablation),0.929259,0.840327,0.451174,0.478086,0.088933,
C:\My_Project\AIGC\stylegan2_test\fake\VOA1F7DMQ6.jpg,stylegan2_ood,fake,True,0.807301,0.873935,0.923754,l2,0,AVAILABLE (zero-branch ablation),0.923754,0.826379,0.480799,0.442955,0.097375,
C:\My_Project\AIGC\stylegan2_test\fake\X0V9IP5OI8.jpg,stylegan2_ood,fake,True,0.816629,0.87757,0.930557,l2,0,AVAILABLE (zero-branch ablation),0.930557,0.850784,0.446412,0.484145,0.079773,
C:\My_Project\AIGC\stylegan2_test\fake\XIXEBV6U4Y.jpg,stylegan2_ood,fake,True,0.820186,0.87692,0.935303,l2,0,AVAILABLE (zero-branch ablation),0.935303,0.835892,0.468676,0.466627,0.099411,
C:\My_Project\AIGC\stylegan2_test\fake\Z31WALJXGD.jpg,stylegan2_ood,fake,True,0.814323,0.877869,0.927613,l2,0,AVAILABLE (zero-branch ablation),0.927613,0.835994,0.480811,0.446802,0.091619,
C:\My_Project\AIGC\stylegan2_test\fake\ZBQ6VDYCNP.jpg,stylegan2_ood,fake,True,0.806281,0.864745,0.932391,l2,0,AVAILABLE (zero-branch ablation),0.932391,0.837162,0.450109,0.482282,0.095229,
C:\My_Project\AIGC\stylegan2_test\fake\ZIJJJONED1.jpg,stylegan2_ood,fake,True,0.804231,0.869949,0.924458,l2,0,AVAILABLE (zero-branch ablation),0.924458,0.835357,0.455563,0.468894,0.0891,
C:\My_Project\AIGC\sd2.1\ff\360\768_116.png,truetest_df40,fake,True,0.80703,0.874293,0.923067,l2,0,AVAILABLE (zero-branch ablation),0.923067,0.777588,0.538879,0.384187,0.145479,
C:\My_Project\AIGC\sd2.1\cdf\YouTube-real\00246\Celeb-real_id11_0003_211.png,truetest_df40,fake,True,0.833077,0.892565,0.933351,l2,0,AVAILABLE (zero-branch ablation),0.933351,0.811854,0.482948,0.450404,0.121498,
C:\My_Project\AIGC\sd2.1\ff\065\324_241.png,truetest_df40,fake,True,0.829436,0.882849,0.9395,l2,0,AVAILABLE (zero-branch ablation),0.9395,0.78619,0.55035,0.38915,0.15331,
C:\My_Project\AIGC\sd2.1\cdf\Celeb-real\id47_0001\YouTube-real_00218_046.png,truetest_df40,fake,True,0.813,0.867966,0.936673,l2,0,AVAILABLE (zero-branch ablation),0.936673,0.785163,0.555712,0.380961,0.15151,
C:\My_Project\AIGC\sd2.1\cdf\Celeb-real\id43_0001\Celeb-real_id24_0007_207.png,truetest_df40,fake,True,0.855815,0.90005,0.950853,l2,0,AVAILABLE (zero-branch ablation),0.950853,0.832616,0.501698,0.449154,0.118237,
C:\My_Project\AIGC\sd2.1\cdf\YouTube-real\00075\Celeb-real_id41_0001_000.png,truetest_df40,fake,True,0.829158,0.880346,0.941856,l2,0,AVAILABLE (zero-branch ablation),0.941856,0.798132,0.54134,0.400515,0.143723,
C:\My_Project\AIGC\sd2.1\ff\875\166_706.png,truetest_df40,fake,True,0.809311,0.875557,0.924339,l2,0,AVAILABLE (zero-branch ablation),0.924339,0.75781,0.546259,0.37808,0.166529,
C:\My_Project\AIGC\sd2.1\ff\708\439_267.png,truetest_df40,fake,True,0.827897,0.878224,0.942694,l2,0,AVAILABLE (zero-branch ablation),0.942694,0.809563,0.555398,0.387297,0.133132,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id16_0012\17946.png,truetest_df40,fake,True,0.805993,0.87015,0.926269,l2,0,AVAILABLE (zero-branch ablation),0.926269,0.771021,0.531879,0.39439,0.155248,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00014\6566.png,truetest_df40,fake,True,0.849641,0.895692,0.948586,l2,0,AVAILABLE (zero-branch ablation),0.948586,0.804829,0.551298,0.397288,0.143757,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id59_0008\9333.png,truetest_df40,fake,True,0.819961,0.875165,0.936921,l2,0,AVAILABLE (zero-branch ablation),0.936921,0.782315,0.551938,0.384984,0.154607,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00289\27470.png,truetest_df40,fake,True,0.811612,0.877787,0.924611,l2,0,AVAILABLE (zero-branch ablation),0.924611,0.759815,0.574284,0.350327,0.164796,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id29_0006\20335.png,truetest_df40,fake,True,0.826265,0.89131,0.927023,l2,0,AVAILABLE (zero-branch ablation),0.927023,0.764976,0.553984,0.373039,0.162047,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id33_0008\24852.png,truetest_df40,fake,True,0.801617,0.860721,0.931332,l2,0,AVAILABLE (zero-branch ablation),0.931332,0.773657,0.570886,0.360446,0.157675,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id16_0006\18374.png,truetest_df40,fake,True,0.835304,0.88271,0.946295,l2,0,AVAILABLE (zero-branch ablation),0.946295,0.808819,0.54662,0.399676,0.137476,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00070\22616.png,truetest_df40,fake,True,0.836074,0.88742,0.94214,l2,0,AVAILABLE (zero-branch ablation),0.94214,0.790603,0.553202,0.388937,0.151537,
C:\My_Project\AIGC\DiT\ff\423\297.png,truetest_df40,fake,True,0.840353,0.891321,0.942817,l2,0,AVAILABLE (zero-branch ablation),0.942817,0.793633,0.544811,0.398006,0.149184,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Youtube-real\00220\19406.png,truetest_df40,fake,True,0.831414,0.886175,0.938205,l2,0,AVAILABLE (zero-branch ablation),0.938205,0.791391,0.550075,0.388131,0.146814,
C:\My_Project\AIGC\DiT\cdf\Fake_from_Celeb-real\id45_0000\10677.png,truetest_df40,fake,True,0.792553,0.85576,0.926139,l2,0,AVAILABLE (zero-branch ablation),0.926139,0.784873,0.581088,0.345052,0.141266,
C:\My_Project\AIGC\SiT\cdf\Fake_from_Celeb-real\id40_0009\14601.png,truetest_df40,fake,True,0.83848,0.889965,0.94215,l2,0,AVAILABLE (zero-branch ablation),0.94215,0.800393,0.568579,0.373571,0.141757,
