image_path,source,condition,condition_type,orig_fake_score,pert_fake_score,fake_score_delta,class_consistency,orig_peak_x,orig_peak_y,pert_peak_x,pert_peak_y,raw_peak_movement_px,expected_geometric_movement_px,face_bbox_found,face_rel_peak_movement,heatmap_overlap_iou_top20,spearman_rho
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,translate_+8_+8,translation,0.850535,0.602296,-0.248239,True,112.0,80.0,143.0,111.0,43.84,11.31,True,0.2754,0.8239,0.8724
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,translate_-8_-8,translation,0.850535,0.820942,-0.029593,True,112.0,80.0,143.0,80.0,31.0,11.31,True,0.3596,0.6977,0.8892
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,translate_+8_-8,translation,0.850535,0.837189,-0.013346,True,112.0,80.0,143.0,80.0,31.0,11.31,True,0.217,0.7932,0.9
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,jpeg_q70,jpeg,0.850535,0.846063,-0.004473,True,112.0,80.0,112.0,80.0,0.0,,True,0.0004,0.9653,0.9961
C:\My_Project\AIGC\AIGuard\unseen\fake_170.jpg,aiguard_unseen,crop90,crop,0.850535,0.78065,-0.069886,True,112.0,80.0,144.0,111.0,44.55,,True,0.3585,0.8174,0.9309
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,translate_+8_+8,translation,0.82397,0.608106,-0.215864,True,80.0,80.0,143.0,143.0,89.1,11.31,True,0.6196,0.8295,0.9059
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,translate_-8_-8,translation,0.82397,0.756235,-0.067735,True,80.0,80.0,143.0,80.0,63.0,11.31,True,0.5961,0.6822,0.8409
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,translate_+8_-8,translation,0.82397,0.701644,-0.122326,True,80.0,80.0,80.0,143.0,63.0,11.31,True,0.5431,0.6427,0.8649
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,jpeg_q70,jpeg,0.82397,0.822697,-0.001273,True,80.0,80.0,143.0,80.0,63.0,,True,0.5254,0.964,0.9946
C:\My_Project\AIGC\AIGuard\unseen\fake_177.jpg,aiguard_unseen,crop90,crop,0.82397,0.806603,-0.017367,True,80.0,80.0,80.0,143.0,63.0,,True,0.4595,0.89,0.9516
C:\My_Project\AIGC\AIGuard\unseen\fake_237.jpg,aiguard_unseen,translate_+8_+8,translation,0.820132,0.717503,-0.102629,True,80.0,143.0,112.0,111.0,45.25,11.31,True,0.3796,0.801,0.8861
C:\My_Project\AIGC\AIGuard\unseen\fake_237.jpg,aiguard_unseen,translate_-8_-8,translation,0.820132,0.775086,-0.045046,True,80.0,143.0,143.0,143.0,63.0,11.31,True,0.5917,0.7469,0.9519
C:\My_Project\AIGC\AIGuard\unseen\fake_237.jpg,aiguard_unseen,translate_+8_-8,translation,0.820132,0.793366,-0.026765,True,80.0,143.0,80.0,143.0,0.0,11.31,True,0.0944,0.7579,0.9484
C:\My_Project\AIGC\AIGuard\unseen\fake_237.jpg,aiguard_unseen,jpeg_q70,jpeg,0.820132,0.824405,0.004273,True,80.0,143.0,143.0,112.0,70.21,,True,0.5732,0.9482,0.9919
C:\My_Project\AIGC\AIGuard\unseen\fake_237.jpg,aiguard_unseen,crop90,crop,0.820132,0.75863,-0.061502,True,80.0,143.0,143.0,112.0,70.21,,True,0.5554,0.9228,0.9596
C:\My_Project\AIGC\AIGuard\unseen\fake_242.jpg,aiguard_unseen,translate_+8_+8,translation,0.812724,0.031155,-0.781569,False,80.0,143.0,112.0,111.0,45.25,11.31,True,0.3411,0.6033,0.8498
C:\My_Project\AIGC\AIGuard\unseen\fake_242.jpg,aiguard_unseen,translate_-8_-8,translation,0.812724,0.776046,-0.036677,True,80.0,143.0,143.0,143.0,63.0,11.31,True,0.5467,0.8089,0.9494
C:\My_Project\AIGC\AIGuard\unseen\fake_242.jpg,aiguard_unseen,translate_+8_-8,translation,0.812724,0.746672,-0.066052,True,80.0,143.0,112.0,80.0,70.66,11.31,True,0.4303,0.8455,0.9352
C:\My_Project\AIGC\AIGuard\unseen\fake_242.jpg,aiguard_unseen,jpeg_q70,jpeg,0.812724,0.820021,0.007298,True,80.0,143.0,143.0,143.0,63.0,,True,0.4837,0.9401,0.9971
C:\My_Project\AIGC\AIGuard\unseen\fake_242.jpg,aiguard_unseen,crop90,crop,0.812724,0.777025,-0.035698,True,80.0,143.0,143.0,112.0,70.21,,True,0.512,0.9015,0.9737
C:\My_Project\AIGC\AIGuard\unseen\fake_260.jpg,aiguard_unseen,translate_+8_+8,translation,0.834841,0.103706,-0.731135,False,80.0,80.0,143.0,143.0,89.1,11.31,True,0.6142,0.8302,0.9359
C:\My_Project\AIGC\AIGuard\unseen\fake_260.jpg,aiguard_unseen,translate_-8_-8,translation,0.834841,0.766959,-0.067882,True,80.0,80.0,143.0,143.0,89.1,11.31,True,0.7932,0.63,0.8743
C:\My_Project\AIGC\AIGuard\unseen\fake_260.jpg,aiguard_unseen,translate_+8_-8,translation,0.834841,0.75439,-0.080451,True,80.0,80.0,143.0,143.0,89.1,11.31,True,0.6982,0.6106,0.8584
C:\My_Project\AIGC\AIGuard\unseen\fake_260.jpg,aiguard_unseen,jpeg_q70,jpeg,0.834841,0.838906,0.004065,True,80.0,80.0,80.0,80.0,0.0,,True,0.0011,0.9663,0.993
C:\My_Project\AIGC\AIGuard\unseen\fake_260.jpg,aiguard_unseen,crop90,crop,0.834841,0.816446,-0.018395,True,80.0,80.0,112.0,143.0,70.66,,True,0.5203,0.6113,0.9162
C:\My_Project\AIGC\AIGuard\unseen\fake_262.jpg,aiguard_unseen,translate_+8_+8,translation,0.788006,0.085664,-0.702343,False,111.0,80.0,111.0,111.0,31.0,11.31,True,0.1919,0.7854,0.9222
C:\My_Project\AIGC\AIGuard\unseen\fake_262.jpg,aiguard_unseen,translate_-8_-8,translation,0.788006,0.776818,-0.011188,True,111.0,80.0,80.0,80.0,31.0,11.31,True,0.2124,0.7618,0.9261
C:\My_Project\AIGC\AIGuard\unseen\fake_262.jpg,aiguard_unseen,translate_+8_-8,translation,0.788006,0.795238,0.007232,True,111.0,80.0,111.0,80.0,0.0,11.31,True,0.091,0.73,0.9483
C:\My_Project\AIGC\AIGuard\unseen\fake_262.jpg,aiguard_unseen,jpeg_q70,jpeg,0.788006,0.786631,-0.001375,True,111.0,80.0,111.0,80.0,0.0,,True,0.0013,0.9692,0.9977
C:\My_Project\AIGC\AIGuard\unseen\fake_262.jpg,aiguard_unseen,crop90,crop,0.788006,0.79596,0.007954,True,111.0,80.0,80.0,80.0,31.0,,True,0.2487,0.9049,0.9679
C:\My_Project\AIGC\AIGuard\unseen\fake_272.jpg,aiguard_unseen,translate_+8_+8,translation,0.703298,0.020489,-0.682809,False,111.0,80.0,112.0,111.0,31.02,11.31,True,0.1919,0.7522,0.9073
C:\My_Project\AIGC\AIGuard\unseen\fake_272.jpg,aiguard_unseen,translate_-8_-8,translation,0.703298,0.776866,0.073568,True,111.0,80.0,112.0,80.0,1.0,11.31,True,0.095,0.7428,0.8832
C:\My_Project\AIGC\AIGuard\unseen\fake_272.jpg,aiguard_unseen,translate_+8_-8,translation,0.703298,0.739215,0.035917,True,111.0,80.0,112.0,80.0,1.0,11.31,True,0.0868,0.7628,0.881
C:\My_Project\AIGC\AIGuard\unseen\fake_272.jpg,aiguard_unseen,jpeg_q70,jpeg,0.703298,0.621146,-0.082151,True,111.0,80.0,112.0,80.0,1.0,,True,0.009,0.97,0.9909
C:\My_Project\AIGC\AIGuard\unseen\fake_272.jpg,aiguard_unseen,crop90,crop,0.703298,0.328723,-0.374575,False,111.0,80.0,111.0,80.0,0.0,,True,0.026,0.8715,0.9509
C:\My_Project\AIGC\AIGuard\unseen\fake_298.jpg,aiguard_unseen,translate_+8_+8,translation,0.805997,0.259606,-0.54639,False,143.0,143.0,143.0,143.0,0.0,11.31,True,0.1034,0.7374,0.9177
C:\My_Project\AIGC\AIGuard\unseen\fake_298.jpg,aiguard_unseen,translate_-8_-8,translation,0.805997,0.714094,-0.091903,True,143.0,143.0,143.0,143.0,0.0,11.31,True,0.0937,0.8015,0.9354
C:\My_Project\AIGC\AIGuard\unseen\fake_298.jpg,aiguard_unseen,translate_+8_-8,translation,0.805997,0.678205,-0.127792,True,143.0,143.0,143.0,143.0,0.0,11.31,True,0.0993,0.8088,0.9436
C:\My_Project\AIGC\AIGuard\unseen\fake_298.jpg,aiguard_unseen,jpeg_q70,jpeg,0.805997,0.804957,-0.00104,True,143.0,143.0,143.0,143.0,0.0,,True,0.0101,0.9569,0.994
C:\My_Project\AIGC\AIGuard\unseen\fake_298.jpg,aiguard_unseen,crop90,crop,0.805997,0.791503,-0.014493,True,143.0,143.0,112.0,143.0,31.0,,True,0.2892,0.9076,0.9474
C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,aiguard_unseen,translate_+8_+8,translation,0.824723,0.699637,-0.125085,True,143.0,112.0,112.0,112.0,31.0,11.31,True,0.4001,0.8289,0.816
C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,aiguard_unseen,translate_-8_-8,translation,0.824723,0.754659,-0.070063,True,143.0,112.0,112.0,111.0,31.02,11.31,True,0.2458,0.791,0.8673
C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,aiguard_unseen,translate_+8_-8,translation,0.824723,0.727653,-0.09707,True,143.0,112.0,112.0,111.0,31.02,11.31,True,0.401,0.8097,0.8994
C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,aiguard_unseen,jpeg_q70,jpeg,0.824723,0.824439,-0.000283,True,143.0,112.0,143.0,111.0,1.0,,True,0.0104,0.9779,0.9895
C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,aiguard_unseen,crop90,crop,0.824723,0.816799,-0.007924,True,143.0,112.0,143.0,112.0,0.0,,True,0.0285,0.9272,0.9141
C:\My_Project\AIGC\AIGuard\unseen\fake_32.jpg,aiguard_unseen,translate_+8_+8,translation,0.825412,0.793221,-0.032191,True,144.0,80.0,111.0,143.0,71.12,11.31,True,0.3033,0.7463,0.9557
C:\My_Project\AIGC\AIGuard\unseen\fake_32.jpg,aiguard_unseen,translate_-8_-8,translation,0.825412,0.813278,-0.012133,True,144.0,80.0,111.0,143.0,71.12,11.31,True,0.3245,0.5284,0.9035
C:\My_Project\AIGC\AIGuard\unseen\fake_32.jpg,aiguard_unseen,translate_+8_-8,translation,0.825412,0.829377,0.003965,True,144.0,80.0,143.0,143.0,63.01,11.31,True,0.3032,0.5267,0.9263
C:\My_Project\AIGC\AIGuard\unseen\fake_32.jpg,aiguard_unseen,jpeg_q70,jpeg,0.825412,0.816851,-0.008561,True,144.0,80.0,143.0,143.0,63.01,,True,0.2697,0.7615,0.9809
C:\My_Project\AIGC\AIGuard\unseen\fake_32.jpg,aiguard_unseen,crop90,crop,0.825412,0.811828,-0.013583,True,144.0,80.0,111.0,143.0,71.12,,True,0.3118,0.6157,0.9328
C:\My_Project\AIGC\AIGuard\unseen\fake_431.jpg,aiguard_unseen,translate_+8_+8,translation,0.821722,0.687176,-0.134545,True,143.0,112.0,112.0,112.0,31.0,11.31,True,0.3065,0.5672,0.9116
C:\My_Project\AIGC\AIGuard\unseen\fake_431.jpg,aiguard_unseen,translate_-8_-8,translation,0.821722,0.611006,-0.210716,True,143.0,112.0,143.0,112.0,0.0,11.31,True,0.0758,0.7998,0.8775
C:\My_Project\AIGC\AIGuard\unseen\fake_431.jpg,aiguard_unseen,translate_+8_-8,translation,0.821722,0.155211,-0.666511,False,143.0,112.0,143.0,112.0,0.0,11.31,True,0.0805,0.7413,0.9205
C:\My_Project\AIGC\AIGuard\unseen\fake_431.jpg,aiguard_unseen,jpeg_q70,jpeg,0.821722,0.837793,0.016071,True,143.0,112.0,112.0,112.0,31.0,,True,0.2376,0.8822,0.9797
C:\My_Project\AIGC\AIGuard\unseen\fake_431.jpg,aiguard_unseen,crop90,crop,0.821722,0.853276,0.031554,True,143.0,112.0,143.0,112.0,0.0,,True,0.0277,0.8066,0.9154
C:\My_Project\AIGC\AIGuard\unseen\fake_434.jpg,aiguard_unseen,translate_+8_+8,translation,0.825313,0.766938,-0.058375,True,143.0,112.0,143.0,112.0,0.0,11.31,True,0.0824,0.6402,0.8511
C:\My_Project\AIGC\AIGuard\unseen\fake_434.jpg,aiguard_unseen,translate_-8_-8,translation,0.825313,0.770875,-0.054438,True,143.0,112.0,80.0,111.0,63.01,11.31,True,0.4223,0.787,0.906
C:\My_Project\AIGC\AIGuard\unseen\fake_434.jpg,aiguard_unseen,translate_+8_-8,translation,0.825313,0.726099,-0.099214,True,143.0,112.0,143.0,111.0,1.0,11.31,True,0.0782,0.7627,0.9111
C:\My_Project\AIGC\AIGuard\unseen\fake_434.jpg,aiguard_unseen,jpeg_q70,jpeg,0.825313,0.831615,0.006302,True,143.0,112.0,112.0,112.0,31.0,,True,0.2369,0.8361,0.9902
C:\My_Project\AIGC\AIGuard\unseen\fake_434.jpg,aiguard_unseen,crop90,crop,0.825313,0.831392,0.006079,True,143.0,112.0,112.0,112.0,31.0,,True,0.2375,0.8366,0.9494
C:\My_Project\AIGC\AIGuard\unseen\fake_451.jpg,aiguard_unseen,translate_+8_+8,translation,0.778944,0.643099,-0.135845,True,143.0,112.0,143.0,112.0,0.0,11.31,True,0.0877,0.6965,0.9225
C:\My_Project\AIGC\AIGuard\unseen\fake_451.jpg,aiguard_unseen,translate_-8_-8,translation,0.778944,0.5347,-0.244244,True,143.0,112.0,143.0,112.0,0.0,11.31,True,0.0862,0.7658,0.9096
C:\My_Project\AIGC\AIGuard\unseen\fake_451.jpg,aiguard_unseen,translate_+8_-8,translation,0.778944,0.459285,-0.319659,False,143.0,112.0,112.0,111.0,31.02,11.31,True,0.3215,0.7513,0.9165
C:\My_Project\AIGC\AIGuard\unseen\fake_451.jpg,aiguard_unseen,jpeg_q70,jpeg,0.778944,0.798707,0.019763,True,143.0,112.0,143.0,112.0,0.0,,True,0.0111,0.8719,0.9716
C:\My_Project\AIGC\AIGuard\unseen\fake_451.jpg,aiguard_unseen,crop90,crop,0.778944,0.836489,0.057545,True,143.0,112.0,143.0,112.0,0.0,,True,0.028,0.8865,0.956
C:\My_Project\AIGC\AIGuard\unseen\fake_453.jpg,aiguard_unseen,translate_+8_+8,translation,0.827766,0.555073,-0.272693,True,111.0,112.0,111.0,112.0,0.0,11.31,True,0.0882,0.5912,0.9266
C:\My_Project\AIGC\AIGuard\unseen\fake_453.jpg,aiguard_unseen,translate_-8_-8,translation,0.827766,0.705018,-0.122748,True,111.0,112.0,80.0,112.0,31.0,11.31,True,0.1927,0.7166,0.8976
C:\My_Project\AIGC\AIGuard\unseen\fake_453.jpg,aiguard_unseen,translate_+8_-8,translation,0.827766,0.56936,-0.258405,True,111.0,112.0,111.0,112.0,0.0,11.31,True,0.0866,0.7411,0.8952
C:\My_Project\AIGC\AIGuard\unseen\fake_453.jpg,aiguard_unseen,jpeg_q70,jpeg,0.827766,0.805236,-0.022529,True,111.0,112.0,111.0,112.0,0.0,,True,0.0003,0.9281,0.9784
C:\My_Project\AIGC\AIGuard\unseen\fake_453.jpg,aiguard_unseen,crop90,crop,0.827766,0.847136,0.019371,True,111.0,112.0,80.0,112.0,31.0,,True,0.2257,0.8727,0.9519
C:\My_Project\AIGC\AIGuard\unseen\fake_458.jpg,aiguard_unseen,translate_+8_+8,translation,0.845183,0.359636,-0.485546,False,143.0,112.0,111.0,112.0,32.0,11.31,True,0.307,0.5148,0.858
C:\My_Project\AIGC\AIGuard\unseen\fake_458.jpg,aiguard_unseen,translate_-8_-8,translation,0.845183,0.126137,-0.719046,False,143.0,112.0,80.0,111.0,63.01,11.31,True,0.4153,0.671,0.8587
C:\My_Project\AIGC\AIGuard\unseen\fake_458.jpg,aiguard_unseen,translate_+8_-8,translation,0.845183,0.181216,-0.663967,False,143.0,112.0,112.0,111.0,31.02,11.31,True,0.2963,0.6675,0.8756
C:\My_Project\AIGC\AIGuard\unseen\fake_458.jpg,aiguard_unseen,jpeg_q70,jpeg,0.845183,0.841695,-0.003488,True,143.0,112.0,143.0,112.0,0.0,,True,0.0009,0.8879,0.936
C:\My_Project\AIGC\AIGuard\unseen\fake_458.jpg,aiguard_unseen,crop90,crop,0.845183,0.859383,0.0142,True,143.0,112.0,112.0,112.0,31.0,,True,0.2315,0.7747,0.893
C:\My_Project\AIGC\AIGuard\unseen\fake_472.jpg,aiguard_unseen,translate_+8_+8,translation,0.832493,0.623114,-0.209379,True,112.0,112.0,112.0,112.0,0.0,11.31,True,0.0911,0.6182,0.8722
C:\My_Project\AIGC\AIGuard\unseen\fake_472.jpg,aiguard_unseen,translate_-8_-8,translation,0.832493,0.662905,-0.169588,True,112.0,112.0,143.0,112.0,31.0,11.31,True,0.3413,0.7731,0.9309
C:\My_Project\AIGC\AIGuard\unseen\fake_472.jpg,aiguard_unseen,translate_+8_-8,translation,0.832493,0.235096,-0.597397,False,112.0,112.0,143.0,112.0,31.0,11.31,True,0.2077,0.7976,0.9429
C:\My_Project\AIGC\AIGuard\unseen\fake_472.jpg,aiguard_unseen,jpeg_q70,jpeg,0.832493,0.839638,0.007145,True,112.0,112.0,80.0,112.0,32.0,,True,0.2764,0.9531,0.9777
C:\My_Project\AIGC\AIGuard\unseen\fake_472.jpg,aiguard_unseen,crop90,crop,0.832493,0.847757,0.015264,True,112.0,112.0,111.0,112.0,1.0,,True,0.0091,0.9352,0.9432
C:\My_Project\AIGC\AIGuard\unseen\fake_677.jpg,aiguard_unseen,translate_+8_+8,translation,0.811198,0.186574,-0.624624,False,112.0,112.0,112.0,112.0,0.0,11.31,True,0.0894,0.7824,0.8826
C:\My_Project\AIGC\AIGuard\unseen\fake_677.jpg,aiguard_unseen,translate_-8_-8,translation,0.811198,0.0662,-0.744997,False,112.0,112.0,143.0,112.0,31.0,11.31,True,0.3196,0.7947,0.9333
C:\My_Project\AIGC\AIGuard\unseen\fake_677.jpg,aiguard_unseen,translate_+8_-8,translation,0.811198,0.043187,-0.768011,False,112.0,112.0,112.0,112.0,0.0,11.31,True,0.0905,0.7992,0.9037
C:\My_Project\AIGC\AIGuard\unseen\fake_677.jpg,aiguard_unseen,jpeg_q70,jpeg,0.811198,0.810833,-0.000364,True,112.0,112.0,112.0,112.0,0.0,,True,0.0019,0.8934,0.987
C:\My_Project\AIGC\AIGuard\unseen\fake_677.jpg,aiguard_unseen,crop90,crop,0.811198,0.837124,0.025927,True,112.0,112.0,143.0,143.0,43.84,,True,0.2986,0.7541,0.9624
C:\My_Project\AIGC\stylegan2_test\fake\30PIZ1A6JA.jpg,stylegan2_ood,translate_+8_+8,translation,0.794431,0.079031,-0.715401,False,143.0,112.0,143.0,112.0,0.0,11.31,True,0.0818,0.6844,0.9106
C:\My_Project\AIGC\stylegan2_test\fake\30PIZ1A6JA.jpg,stylegan2_ood,translate_-8_-8,translation,0.794431,0.280781,-0.51365,False,143.0,112.0,143.0,112.0,0.0,11.31,True,0.0877,0.6444,0.9108
C:\My_Project\AIGC\stylegan2_test\fake\30PIZ1A6JA.jpg,stylegan2_ood,translate_+8_-8,translation,0.794431,0.098592,-0.695839,False,143.0,112.0,143.0,111.0,1.0,11.31,True,0.0816,0.7247,0.9248
C:\My_Project\AIGC\stylegan2_test\fake\30PIZ1A6JA.jpg,stylegan2_ood,jpeg_q70,jpeg,0.794431,0.781496,-0.012936,True,143.0,112.0,143.0,112.0,0.0,,True,0.0023,0.9421,0.9787
C:\My_Project\AIGC\stylegan2_test\fake\30PIZ1A6JA.jpg,stylegan2_ood,crop90,crop,0.794431,0.773692,-0.020739,True,143.0,112.0,144.0,112.0,1.0,,True,0.0157,0.7341,0.9556
C:\My_Project\AIGC\stylegan2_test\fake\5SI1CK8UC0.jpg,stylegan2_ood,translate_+8_+8,translation,0.806411,0.452676,-0.353734,False,111.0,112.0,111.0,112.0,0.0,11.31,True,0.0857,0.8501,0.926
C:\My_Project\AIGC\stylegan2_test\fake\5SI1CK8UC0.jpg,stylegan2_ood,translate_-8_-8,translation,0.806411,0.75013,-0.056281,True,111.0,112.0,111.0,112.0,0.0,11.31,True,0.0828,0.7573,0.9136
C:\My_Project\AIGC\stylegan2_test\fake\5SI1CK8UC0.jpg,stylegan2_ood,translate_+8_-8,translation,0.806411,0.692249,-0.114161,True,111.0,112.0,112.0,112.0,1.0,11.31,True,0.0714,0.7824,0.9251
C:\My_Project\AIGC\stylegan2_test\fake\5SI1CK8UC0.jpg,stylegan2_ood,jpeg_q70,jpeg,0.806411,0.822647,0.016236,True,111.0,112.0,112.0,112.0,1.0,,True,0.007,0.8539,0.9688
C:\My_Project\AIGC\stylegan2_test\fake\5SI1CK8UC0.jpg,stylegan2_ood,crop90,crop,0.806411,0.869096,0.062686,True,111.0,112.0,111.0,112.0,0.0,,True,0.0101,0.8106,0.933
C:\My_Project\AIGC\stylegan2_test\fake\68ZWU9N0A4.jpg,stylegan2_ood,translate_+8_+8,translation,0.815957,0.482239,-0.333718,True,111.0,112.0,112.0,112.0,1.0,11.31,True,0.0828,0.5547,0.8718
C:\My_Project\AIGC\stylegan2_test\fake\68ZWU9N0A4.jpg,stylegan2_ood,translate_-8_-8,translation,0.815957,0.291594,-0.524363,False,111.0,112.0,80.0,111.0,31.02,11.31,True,0.2019,0.6239,0.8525
C:\My_Project\AIGC\stylegan2_test\fake\68ZWU9N0A4.jpg,stylegan2_ood,translate_+8_-8,translation,0.815957,0.193025,-0.622932,False,111.0,112.0,112.0,111.0,1.41,11.31,True,0.0723,0.6288,0.8133
C:\My_Project\AIGC\stylegan2_test\fake\68ZWU9N0A4.jpg,stylegan2_ood,jpeg_q70,jpeg,0.815957,0.807596,-0.008361,True,111.0,112.0,80.0,112.0,31.0,,True,0.2635,0.8815,0.9723
C:\My_Project\AIGC\stylegan2_test\fake\68ZWU9N0A4.jpg,stylegan2_ood,crop90,crop,0.815957,0.836951,0.020994,True,111.0,112.0,111.0,112.0,0.0,,True,0.0076,0.783,0.9256
C:\My_Project\AIGC\stylegan2_test\fake\74WMVN57OA.jpg,stylegan2_ood,translate_+8_+8,translation,0.787803,0.19505,-0.592753,False,111.0,112.0,112.0,112.0,1.0,11.31,True,0.0799,0.8571,0.8798
C:\My_Project\AIGC\stylegan2_test\fake\74WMVN57OA.jpg,stylegan2_ood,translate_-8_-8,translation,0.787803,0.057637,-0.730166,False,111.0,112.0,111.0,112.0,0.0,11.31,True,0.0894,0.7872,0.9015
C:\My_Project\AIGC\stylegan2_test\fake\74WMVN57OA.jpg,stylegan2_ood,translate_+8_-8,translation,0.787803,0.04462,-0.743184,False,111.0,112.0,112.0,112.0,1.0,11.31,True,0.0805,0.8137,0.929
C:\My_Project\AIGC\stylegan2_test\fake\74WMVN57OA.jpg,stylegan2_ood,jpeg_q70,jpeg,0.787803,0.796716,0.008912,True,111.0,112.0,111.0,112.0,0.0,,True,0.0005,0.8578,0.9682
C:\My_Project\AIGC\stylegan2_test\fake\74WMVN57OA.jpg,stylegan2_ood,crop90,crop,0.787803,0.801205,0.013402,True,111.0,112.0,112.0,112.0,1.0,,True,0.0112,0.8188,0.9038
C:\My_Project\AIGC\stylegan2_test\fake\7DNN5FXAB5.jpg,stylegan2_ood,translate_+8_+8,translation,0.78668,0.5734,-0.21328,True,143.0,112.0,111.0,112.0,32.0,11.31,True,0.3285,0.6701,0.9076
C:\My_Project\AIGC\stylegan2_test\fake\7DNN5FXAB5.jpg,stylegan2_ood,translate_-8_-8,translation,0.78668,0.400815,-0.385865,False,143.0,112.0,143.0,111.0,1.0,11.31,True,0.0824,0.77,0.9337
C:\My_Project\AIGC\stylegan2_test\fake\7DNN5FXAB5.jpg,stylegan2_ood,translate_+8_-8,translation,0.78668,0.216954,-0.569727,False,143.0,112.0,112.0,111.0,31.02,11.31,True,0.3218,0.8104,0.943
